sex,cohort,source,g0,g1,g2,g3,h_young,h_old,delta,g0_raw,g1_raw,g2_raw,g3_raw
male,2051,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2052,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2053,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2054,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2055,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2056,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2057,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2058,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2059,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2060,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2061,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2062,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2063,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2064,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2065,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2066,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2067,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2068,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2069,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2070,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,2071,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
